Text Encoder 1, Text Encoder 2, VAE Encoder, UNet, VAE Decoder, Total
0.439,314.624,0.0,5390.8305,28681.859,240516.655
0.249,320.519,0.0,3647.88,20616.202,199112.276
0.452,324.179,0.0,4230.556,20610.199,218960.022
