Node,Operator,Number of Params,Params (%),Memory (in Bytes),Memory (%),Weights and Bias Memory (%),Output Memory (%),Inputs Shape,Output Shape,Weights and Bias Shape,Inputs Size,Output Size,Inputs Memory (in Bytes),Weights and Bias Memory (in Bytes),Output Memory (in Bytes)
/down_blocks.0/resnets.0/act_1/Mul,Mul,0.0,0.0,5120.0,0.0,0.0,0.0,"1x1280, 1x1280",1x1280,,2560,1280,10240.0,0.0,5120.0
/down_blocks.0/resnets.0/time_emb_proj/Gemm,Gemm,409920.0,0.05,1640960.0,0.01,0.01,0.0,1x1280,1x320,"320x1280, 320",1280,320,5120.0,1639680.0,1280.0
/down_blocks.0/resnets.0/Constant,Constant,0.0,0.0,8.0,0.0,0.0,0.0,,1,,0,1,0.0,0.0,8.0
/down_blocks.0/resnets.0/Unsqueeze,Unsqueeze,0.0,0.0,1280.0,0.0,0.0,0.0,"1x320, 1",1x320x1,,321,320,1288.0,0.0,1280.0
/down_blocks.0/resnets.0/Constant_1,Constant,0.0,0.0,8.0,0.0,0.0,0.0,,1,,0,1,0.0,0.0,8.0
/down_blocks.0/resnets.0/Unsqueeze_1,Unsqueeze,0.0,0.0,1280.0,0.0,0.0,0.0,"1x320x1, 1",1x320x1x1,,321,320,1288.0,0.0,1280.0
/down_blocks.0/resnets.0/Add,Add,0.0,0.0,5242880.0,0.04,0.0,0.04,"1x320x64x64, 1x320x1x1",1x320x64x64,,1311040,1310720,5244160.0,0.0,5242880.0
/down_blocks.0/resnets.0/norm2/Constant,Constant,0.0,0.0,24.0,0.0,0.0,0.0,,3,,0,3,0.0,0.0,24.0
/down_blocks.0/resnets.0/norm2/Reshape,Reshape,0.0,0.0,5242880.0,0.04,0.0,0.04,"1x320x64x64, 3",1x32x40960,,1310723,1310720,5242904.0,0.0,5242880.0
/down_blocks.0/resnets.0/norm2/Constant_1,Constant,0.0,0.0,128.0,0.0,0.0,0.0,,32,,0,32,0.0,0.0,128.0
/down_blocks.0/resnets.0/norm2/Constant_2,Constant,0.0,0.0,128.0,0.0,0.0,0.0,,32,,0,32,0.0,0.0,128.0
/down_blocks.0/resnets.0/norm2/InstanceNormalization,InstanceNormalization,0.0,0.0,5242880.0,0.04,0.0,0.04,"1x32x40960, 32, 32",1x32x40960,,1310784,1310720,5243136.0,0.0,5242880.0
/down_blocks.0/resnets.0/norm2/Shape,Shape,0.0,0.0,32.0,0.0,0.0,0.0,1x320x64x64,4,,1310720,4,5242880.0,0.0,32.0
