Node,Operator,Number of Params,Params (%),Memory (in Bytes),Memory (%),Weights and Bias Memory (%),Output Memory (%),Inputs Shape,Output Shape,Weights and Bias Shape,Inputs Size,Output Size,Inputs Memory (in Bytes),Weights and Bias Memory (in Bytes),Output Memory (in Bytes),Weights and Bias Memory (in MB),Output Memory (in MB),Memory (in MB)
/model/layers.0/self_attn/rotary_emb/Constant_1,Constant,0.0,0.0,8.0,0.0,0.0,0.0,,1,,0,1,0.0,0.0,8.0,0.0,8e-06,8e-06
/model/layers.0/self_attn/rotary_emb/Constant_2,Constant,0.0,0.0,8.0,0.0,0.0,0.0,,1,,0,1,0.0,0.0,8.0,0.0,8e-06,8e-06
/model/layers.0/self_attn/rotary_emb/Constant_3,Constant,0.0,0.0,8.0,0.0,0.0,0.0,,1,,0,1,0.0,0.0,8.0,0.0,8e-06,8e-06
/model/layers.0/self_attn/rotary_emb/Constant_4,Constant,0.0,0.0,8.0,0.0,0.0,0.0,,1,,0,1,0.0,0.0,8.0,0.0,8e-06,8e-06
/model/layers.0/self_attn/rotary_emb/Constant_5,Constant,0.0,0.0,524288.0,0.015,0.0,0.015,,2048x64,,0,131072,0.0,0.0,524288.0,0.0,0.524288,0.524288
/model/layers.0/self_attn/rotary_emb/Constant_6,Constant,0.0,0.0,8.0,0.0,0.0,0.0,,1,,0,1,0.0,0.0,8.0,0.0,8e-06,8e-06
/model/layers.0/self_attn/rotary_emb/Constant_7,Constant,0.0,0.0,8.0,0.0,0.0,0.0,,1,,0,1,0.0,0.0,8.0,0.0,8e-06,8e-06
/model/layers.0/self_attn/rotary_emb/Constant_8,Constant,0.0,0.0,8.0,0.0,0.0,0.0,,1,,0,1,0.0,0.0,8.0,0.0,8e-06,8e-06
/model/layers.0/self_attn/rotary_emb/Constant_9,Constant,0.0,0.0,8.0,0.0,0.0,0.0,,1,,0,1,0.0,0.0,8.0,0.0,8e-06,8e-06
/model/layers.0/self_attn/Constant_9,Constant,0.0,0.0,8.0,0.0,0.0,0.0,,1,,0,1,0.0,0.0,8.0,0.0,8e-06,8e-06
/model/layers.0/self_attn/Constant_10,Constant,0.0,0.0,8.0,0.0,0.0,0.0,,1,,0,1,0.0,0.0,8.0,0.0,8e-06,8e-06
/model/layers.0/self_attn/Constant_13,Constant,0.0,0.0,8.0,0.0,0.0,0.0,,1,,0,1,0.0,0.0,8.0,0.0,8e-06,8e-06
/model/layers.0/self_attn/Constant_14,Constant,0.0,0.0,8.0,0.0,0.0,0.0,,1,,0,1,0.0,0.0,8.0,0.0,8e-06,8e-06
/model/layers.0/self_attn/Constant_15,Constant,0.0,0.0,8.0,0.0,0.0,0.0,,1,,0,1,0.0,0.0,8.0,0.0,8e-06,8e-06
/model/layers.0/self_attn/Constant_16,Constant,0.0,0.0,8.0,0.0,0.0,0.0,,1,,0,1,0.0,0.0,8.0,0.0,8e-06,8e-06
/model/layers.0/self_attn/Constant_17,Constant,0.0,0.0,8.0,0.0,0.0,0.0,,1,,0,1,0.0,0.0,8.0,0.0,8e-06,8e-06
/model/layers.0/self_attn/Constant_18,Constant,0.0,0.0,8.0,0.0,0.0,0.0,,1,,0,1,0.0,0.0,8.0,0.0,8e-06,8e-06
/model/layers.0/self_attn/Constant_19,Constant,0.0,0.0,8.0,0.0,0.0,0.0,,1,,0,1,0.0,0.0,8.0,0.0,8e-06,8e-06
/model/layers.0/self_attn/Constant_20,Constant,0.0,0.0,8.0,0.0,0.0,0.0,,1,,0,1,0.0,0.0,8.0,0.0,8e-06,8e-06
/model/layers.0/self_attn/Constant_23,Constant,0.0,0.0,8.0,0.0,0.0,0.0,,1,,0,1,0.0,0.0,8.0,0.0,8e-06,8e-06
/model/layers.0/self_attn/Constant_24,Constant,0.0,0.0,8.0,0.0,0.0,0.0,,1,,0,1,0.0,0.0,8.0,0.0,8e-06,8e-06
/model/layers.0/self_attn/Constant_25,Constant,0.0,0.0,8.0,0.0,0.0,0.0,,1,,0,1,0.0,0.0,8.0,0.0,8e-06,8e-06
/model/layers.0/self_attn/Constant_26,Constant,0.0,0.0,8.0,0.0,0.0,0.0,,1,,0,1,0.0,0.0,8.0,0.0,8e-06,8e-06
/model/layers.0/self_attn/Constant_27,Constant,0.0,0.0,8.0,0.0,0.0,0.0,,1,,0,1,0.0,0.0,8.0,0.0,8e-06,8e-06
/model/layers.0/self_attn/Constant_28,Constant,0.0,0.0,8.0,0.0,0.0,0.0,,1,,0,1,0.0,0.0,8.0,0.0,8e-06,8e-06
/model/layers.0/self_attn/Constant_29,Constant,0.0,0.0,8.0,0.0,0.0,0.0,,1,,0,1,0.0,0.0,8.0,0.0,8e-06,8e-06
/model/layers.0/self_attn/Constant_30,Constant,0.0,0.0,8.0,0.0,0.0,0.0,,1,,0,1,0.0,0.0,8.0,0.0,8e-06,8e-06
/model/layers.0/self_attn/Constant_35,Constant,0.0,0.0,8.0,0.0,0.0,0.0,,1,,0,1,0.0,0.0,8.0,0.0,8e-06,8e-06
/model/layers.0/self_attn/Constant_36,Constant,0.0,0.0,8.0,0.0,0.0,0.0,,1,,0,1,0.0,0.0,8.0,0.0,8e-06,8e-06
/model/layers.0/self_attn/Constant_37,Constant,0.0,0.0,8.0,0.0,0.0,0.0,,1,,0,1,0.0,0.0,8.0,0.0,8e-06,8e-06
/model/layers.0/self_attn/Constant_38,Constant,0.0,0.0,8.0,0.0,0.0,0.0,,1,,0,1,0.0,0.0,8.0,0.0,8e-06,8e-06
/model/layers.0/self_attn/Constant_39,Constant,0.0,0.0,8.0,0.0,0.0,0.0,,1,,0,1,0.0,0.0,8.0,0.0,8e-06,8e-06
/model/layers.0/self_attn/Constant_40,Constant,0.0,0.0,8.0,0.0,0.0,0.0,,1,,0,1,0.0,0.0,8.0,0.0,8e-06,8e-06
/model/layers.0/self_attn/Constant_41,Constant,0.0,0.0,8.0,0.0,0.0,0.0,,1,,0,1,0.0,0.0,8.0,0.0,8e-06,8e-06
Constant_272,Constant,0.0,0.0,8.0,0.0,0.0,0.0,,1,,0,1,0.0,0.0,8.0,0.0,8e-06,8e-06
Constant_274,Constant,0.0,0.0,8.0,0.0,0.0,0.0,,1,,0,1,0.0,0.0,8.0,0.0,8e-06,8e-06
Constant_276,Constant,0.0,0.0,8.0,0.0,0.0,0.0,,1,,0,1,0.0,0.0,8.0,0.0,8e-06,8e-06
Constant_278,Constant,0.0,0.0,8.0,0.0,0.0,0.0,,1,,0,1,0.0,0.0,8.0,0.0,8e-06,8e-06
/model/layers.0/self_attn/Constant_48,Constant,0.0,0.0,8.0,0.0,0.0,0.0,,1,,0,1,0.0,0.0,8.0,0.0,8e-06,8e-06
/model/layers.0/self_attn/Constant_49,Constant,0.0,0.0,8.0,0.0,0.0,0.0,,1,,0,1,0.0,0.0,8.0,0.0,8e-06,8e-06
/model/layers.0/self_attn/Constant_50,Constant,0.0,0.0,8.0,0.0,0.0,0.0,,1,,0,1,0.0,0.0,8.0,0.0,8e-06,8e-06
/model/layers.0/self_attn/Constant_51,Constant,0.0,0.0,8.0,0.0,0.0,0.0,,1,,0,1,0.0,0.0,8.0,0.0,8e-06,8e-06
/model/layers.0/self_attn/Constant_52,Constant,0.0,0.0,8.0,0.0,0.0,0.0,,1,,0,1,0.0,0.0,8.0,0.0,8e-06,8e-06
/model/layers.0/self_attn/Constant_53,Constant,0.0,0.0,8.0,0.0,0.0,0.0,,1,,0,1,0.0,0.0,8.0,0.0,8e-06,8e-06
/model/layers.0/self_attn/Constant_54,Constant,0.0,0.0,8.0,0.0,0.0,0.0,,1,,0,1,0.0,0.0,8.0,0.0,8e-06,8e-06
Constant_317,Constant,0.0,0.0,8.0,0.0,0.0,0.0,,1,,0,1,0.0,0.0,8.0,0.0,8e-06,8e-06
Constant_319,Constant,0.0,0.0,8.0,0.0,0.0,0.0,,1,,0,1,0.0,0.0,8.0,0.0,8e-06,8e-06
Constant_321,Constant,0.0,0.0,8.0,0.0,0.0,0.0,,1,,0,1,0.0,0.0,8.0,0.0,8e-06,8e-06
Constant_323,Constant,0.0,0.0,8.0,0.0,0.0,0.0,,1,,0,1,0.0,0.0,8.0,0.0,8e-06,8e-06
Constant_337,Constant,0.0,0.0,8.0,0.0,0.0,0.0,,1,,0,1,0.0,0.0,8.0,0.0,8e-06,8e-06
Constant_339,Constant,0.0,0.0,8.0,0.0,0.0,0.0,,1,,0,1,0.0,0.0,8.0,0.0,8e-06,8e-06
/model/layers.0/self_attn/Constant_58,Constant,0.0,0.0,8.0,0.0,0.0,0.0,,1,,0,1,0.0,0.0,8.0,0.0,8e-06,8e-06
Constant_386,Constant,0.0,0.0,8.0,0.0,0.0,0.0,,1,,0,1,0.0,0.0,8.0,0.0,8e-06,8e-06
Constant_388,Constant,0.0,0.0,8.0,0.0,0.0,0.0,,1,,0,1,0.0,0.0,8.0,0.0,8e-06,8e-06
/model/layers.1/self_attn/Constant_2,Constant,0.0,0.0,8.0,0.0,0.0,0.0,,1,,0,1,0.0,0.0,8.0,0.0,8e-06,8e-06
/model/layers.1/self_attn/Constant_3,Constant,0.0,0.0,8.0,0.0,0.0,0.0,,1,,0,1,0.0,0.0,8.0,0.0,8e-06,8e-06
Constant_395,Constant,0.0,0.0,8.0,0.0,0.0,0.0,,1,,0,1,0.0,0.0,8.0,0.0,8e-06,8e-06
Constant_397,Constant,0.0,0.0,8.0,0.0,0.0,0.0,,1,,0,1,0.0,0.0,8.0,0.0,8e-06,8e-06
/model/layers.1/self_attn/Constant_4,Constant,0.0,0.0,8.0,0.0,0.0,0.0,,1,,0,1,0.0,0.0,8.0,0.0,8e-06,8e-06
/model/layers.1/self_attn/Constant_5,Constant,0.0,0.0,8.0,0.0,0.0,0.0,,1,,0,1,0.0,0.0,8.0,0.0,8e-06,8e-06
Constant_402,Constant,0.0,0.0,8.0,0.0,0.0,0.0,,1,,0,1,0.0,0.0,8.0,0.0,8e-06,8e-06
Constant_404,Constant,0.0,0.0,8.0,0.0,0.0,0.0,,1,,0,1,0.0,0.0,8.0,0.0,8e-06,8e-06
/model/layers.1/self_attn/Constant_6,Constant,0.0,0.0,8.0,0.0,0.0,0.0,,1,,0,1,0.0,0.0,8.0,0.0,8e-06,8e-06
/model/layers.1/self_attn/Constant_7,Constant,0.0,0.0,8.0,0.0,0.0,0.0,,1,,0,1,0.0,0.0,8.0,0.0,8e-06,8e-06
/model/layers.1/self_attn/rotary_emb/Constant,Constant,0.0,0.0,8.0,0.0,0.0,0.0,,1,,0,1,0.0,0.0,8.0,0.0,8e-06,8e-06
/model/layers.1/self_attn/rotary_emb/Constant_1,Constant,0.0,0.0,8.0,0.0,0.0,0.0,,1,,0,1,0.0,0.0,8.0,0.0,8e-06,8e-06
/model/layers.1/self_attn/rotary_emb/Constant_2,Constant,0.0,0.0,8.0,0.0,0.0,0.0,,1,,0,1,0.0,0.0,8.0,0.0,8e-06,8e-06
/model/layers.1/self_attn/rotary_emb/Constant_3,Constant,0.0,0.0,8.0,0.0,0.0,0.0,,1,,0,1,0.0,0.0,8.0,0.0,8e-06,8e-06
/model/layers.1/self_attn/rotary_emb/Constant_4,Constant,0.0,0.0,8.0,0.0,0.0,0.0,,1,,0,1,0.0,0.0,8.0,0.0,8e-06,8e-06
/model/layers.1/self_attn/rotary_emb/Constant_5,Constant,0.0,0.0,8.0,0.0,0.0,0.0,,1,,0,1,0.0,0.0,8.0,0.0,8e-06,8e-06
/model/layers.1/self_attn/rotary_emb/Constant_6,Constant,0.0,0.0,8.0,0.0,0.0,0.0,,1,,0,1,0.0,0.0,8.0,0.0,8e-06,8e-06
/model/layers.1/self_attn/rotary_emb/Constant_7,Constant,0.0,0.0,8.0,0.0,0.0,0.0,,1,,0,1,0.0,0.0,8.0,0.0,8e-06,8e-06
/model/layers.1/self_attn/Constant_10,Constant,0.0,0.0,8.0,0.0,0.0,0.0,,1,,0,1,0.0,0.0,8.0,0.0,8e-06,8e-06
/model/layers.1/self_attn/Constant_11,Constant,0.0,0.0,8.0,0.0,0.0,0.0,,1,,0,1,0.0,0.0,8.0,0.0,8e-06,8e-06
/model/layers.1/self_attn/Constant_14,Constant,0.0,0.0,8.0,0.0,0.0,0.0,,1,,0,1,0.0,0.0,8.0,0.0,8e-06,8e-06
/model/layers.1/self_attn/Constant_15,Constant,0.0,0.0,8.0,0.0,0.0,0.0,,1,,0,1,0.0,0.0,8.0,0.0,8e-06,8e-06
/model/layers.1/self_attn/Constant_16,Constant,0.0,0.0,8.0,0.0,0.0,0.0,,1,,0,1,0.0,0.0,8.0,0.0,8e-06,8e-06
/model/layers.1/self_attn/Constant_17,Constant,0.0,0.0,8.0,0.0,0.0,0.0,,1,,0,1,0.0,0.0,8.0,0.0,8e-06,8e-06
/model/layers.1/self_attn/Constant_18,Constant,0.0,0.0,8.0,0.0,0.0,0.0,,1,,0,1,0.0,0.0,8.0,0.0,8e-06,8e-06
/model/layers.1/self_attn/Constant_19,Constant,0.0,0.0,8.0,0.0,0.0,0.0,,1,,0,1,0.0,0.0,8.0,0.0,8e-06,8e-06
/model/layers.1/self_attn/Constant_20,Constant,0.0,0.0,8.0,0.0,0.0,0.0,,1,,0,1,0.0,0.0,8.0,0.0,8e-06,8e-06
/model/layers.1/self_attn/Constant_21,Constant,0.0,0.0,8.0,0.0,0.0,0.0,,1,,0,1,0.0,0.0,8.0,0.0,8e-06,8e-06
/model/layers.1/self_attn/Constant_24,Constant,0.0,0.0,8.0,0.0,0.0,0.0,,1,,0,1,0.0,0.0,8.0,0.0,8e-06,8e-06
/model/layers.1/self_attn/Constant_25,Constant,0.0,0.0,8.0,0.0,0.0,0.0,,1,,0,1,0.0,0.0,8.0,0.0,8e-06,8e-06
/model/layers.1/self_attn/Constant_26,Constant,0.0,0.0,8.0,0.0,0.0,0.0,,1,,0,1,0.0,0.0,8.0,0.0,8e-06,8e-06
/model/layers.1/self_attn/Constant_27,Constant,0.0,0.0,8.0,0.0,0.0,0.0,,1,,0,1,0.0,0.0,8.0,0.0,8e-06,8e-06
/model/layers.1/self_attn/Constant_28,Constant,0.0,0.0,8.0,0.0,0.0,0.0,,1,,0,1,0.0,0.0,8.0,0.0,8e-06,8e-06
/model/layers.1/self_attn/Constant_29,Constant,0.0,0.0,8.0,0.0,0.0,0.0,,1,,0,1,0.0,0.0,8.0,0.0,8e-06,8e-06
/model/layers.1/self_attn/Constant_30,Constant,0.0,0.0,8.0,0.0,0.0,0.0,,1,,0,1,0.0,0.0,8.0,0.0,8e-06,8e-06
/model/layers.1/self_attn/Constant_31,Constant,0.0,0.0,8.0,0.0,0.0,0.0,,1,,0,1,0.0,0.0,8.0,0.0,8e-06,8e-06
