Node,Operator,Number of Params,Params (%),Memory (in Bytes),Memory (%),Compute Operations,Compute Operations (%),Compute-to-Memory Ratio (Operations/Byte),Weights and Bias Memory (%),Output Memory (%),Inputs Shape,Output Shape,Weights and Bias Shape,Inputs Size,Weights and Bias Size,Output Size,Inputs Memory (in Bytes),Weights and Bias Memory (in Bytes),Output Memory (in Bytes),Weights and Bias Memory (in MB),Output Memory (in MB),Memory (in MB)
/model/ConstantOfShape,ConstantOfShape,0.0,0.0,,,0.0,0.0,,,,2,1x2048,,2.0,0.0,2048.0,16.0,,,,,
/model/Trilu,Trilu,0.0,0.0,,,2048.0,0.0,,,,1x2048,1x2048,,2048.0,0.0,2048.0,4096.0,,,,,
/model/Range_1,Range,0.0,0.0,16384.0,0.0,6144.0,0.0,0.375,0.0,0.0,,2048,,0.0,0.0,2048.0,0.0,0.0,16384.0,0.0,0.016384,0.016384
/model/Constant_7,Constant,0.0,0.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,,2,,0.0,0.0,2.0,0.0,0.0,16.0,0.0,1.6e-05,1.6e-05
/model/Reshape,Reshape,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,"1, 2",1x1,,3.0,0.0,1.0,24.0,0.0,8.0,0.0,8e-06,8e-06
/model/Greater,Greater,0.0,0.0,2048.0,0.0,2048.0,0.0,1.0,0.0,0.0,"2048, 1x1",1x2048,,2049.0,0.0,2048.0,16392.0,0.0,2048.0,0.0,0.002048,0.002048
Cast_2765,Cast,0.0,0.0,,,2048.0,0.0,,,,1x2048,1x2048,,2048.0,0.0,2048.0,2048.0,,,,,
/model/Mul,Mul,0.0,0.0,4096.0,0.0,2048.0,0.0,0.5,0.0,0.0,"1x2048, 1x2048",1x2048,,4096.0,0.0,2048.0,8192.0,0.0,4096.0,0.0,0.004096,0.004096
/model/Constant_8,Constant,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,,1,,0.0,0.0,1.0,0.0,0.0,8.0,0.0,8e-06,8e-06
/model/Unsqueeze_2,Unsqueeze,0.0,0.0,4096.0,0.0,0.0,0.0,0.0,0.0,0.0,"1x2048, 1",1x1x2048,,2049.0,0.0,2048.0,4104.0,0.0,4096.0,0.0,0.004096,0.004096
/model/Constant_9,Constant,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,,1,,0.0,0.0,1.0,0.0,0.0,8.0,0.0,8e-06,8e-06
/model/Unsqueeze_3,Unsqueeze,0.0,0.0,4096.0,0.0,0.0,0.0,0.0,0.0,0.0,"1x1x2048, 1",1x1x1x2048,,2049.0,0.0,2048.0,4104.0,0.0,4096.0,0.0,0.004096,0.004096
/model/Shape_3,Shape,0.0,0.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,1x1x4096,3,,4096.0,0.0,3.0,8192.0,0.0,24.0,0.0,2.4e-05,2.4e-05
/model/Constant_11,Constant,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,,1,,0.0,0.0,1.0,0.0,0.0,8.0,0.0,8e-06,8e-06
/model/Unsqueeze_4,Unsqueeze,0.0,0.0,,,0.0,0.0,,,,1,1,,1.0,0.0,1.0,8.0,,,,,
/model/Constant_12,Constant,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,,1,,0.0,0.0,1.0,0.0,0.0,8.0,0.0,8e-06,8e-06
/model/Constant_13,Constant,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,,1,,0.0,0.0,1.0,0.0,0.0,8.0,0.0,8e-06,8e-06
/model/Constant_14,Constant,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,,1,,0.0,0.0,1.0,0.0,0.0,8.0,0.0,8e-06,8e-06
/model/Concat_1,Concat,0.0,0.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,"1, 1, 1, 1",4,,4.0,0.0,4.0,32.0,0.0,32.0,0.0,3.2e-05,3.2e-05
/model/Shape_4,Shape,0.0,0.0,,,0.0,0.0,,,,4,1,,4.0,0.0,1.0,32.0,,,,,
/model/ConstantOfShape_1,ConstantOfShape,0.0,0.0,,,0.0,0.0,,,,1,4,,1.0,0.0,4.0,8.0,,,,,
/model/Mul_1,Mul,0.0,0.0,,,4.0,0.0,,,,4,4,,4.0,0.0,4.0,32.0,,,,,
/model/Equal,Equal,0.0,0.0,4.0,0.0,4.0,0.0,1.0,0.0,0.0,"4, 4",4,,8.0,0.0,4.0,64.0,0.0,4.0,0.0,4e-06,4e-06
/model/Where,Where,0.0,0.0,32.0,0.0,4.0,0.0,0.125,0.0,0.0,"4, 4, 4",4,,12.0,0.0,4.0,68.0,0.0,32.0,0.0,3.2e-05,3.2e-05
/model/Expand,Expand,0.0,0.0,4096.0,0.0,2048.0,0.0,0.5,0.0,0.0,"1x1x1x2048, 4",1x1x1x2048,,2052.0,0.0,2048.0,4128.0,0.0,4096.0,0.0,0.004096,0.004096
/model/Constant_17,Constant,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,,1,,0.0,0.0,1.0,0.0,0.0,8.0,0.0,8e-06,8e-06
