Node,Operation,Inputs Shape,Weights and Bias Shape,Output Shape,Weights and Bias Params Size,Output Params Size,Weights and Bias Memory (in Bytes),Output Memory (in Bytes)
/down_blocks.0/attentions.0/Shape,Shape,1x320x64x64,,4,0,4,0,32
/down_blocks.0/attentions.0/Shape_1,Shape,1x320x64x64,,4,0,4,0,32
/down_blocks.0/attentions.0/Shape_2,Shape,1x320x64x64,,4,0,4,0,32
/down_blocks.0/attentions.0/norm/Constant,Constant,,,3,0,3,0,24
/down_blocks.0/attentions.0/norm/Reshape,Reshape,"1x320x64x64, 3",,1x32x40960,0,1310720,0,5242880
/down_blocks.0/attentions.0/norm/Constant_1,Constant,,,32,0,32,0,128
/down_blocks.0/attentions.0/norm/Constant_2,Constant,,,32,0,32,0,128
/down_blocks.0/attentions.0/norm/InstanceNormalization,InstanceNormalization,"1x32x40960, 32, 32",,1x32x40960,0,1310720,0,5242880
/down_blocks.0/attentions.0/norm/Shape,Shape,1x320x64x64,,4,0,4,0,32
/down_blocks.0/attentions.0/norm/Reshape_1,Reshape,"1x32x40960, 4",,1x320x64x64,0,1310720,0,5242880
/down_blocks.0/attentions.0/norm/Mul,Mul,1x320x64x64,320x1x1,1x320x64x64,320,1310720,1280,5242880
/down_blocks.0/attentions.0/norm/Add,Add,1x320x64x64,320x1x1,1x320x64x64,320,1310720,1280,5242880
/down_blocks.0/attentions.0/Shape_3,Shape,1x320x64x64,,4,0,4,0,32
/down_blocks.0/attentions.0/Transpose,Transpose,1x320x64x64,,1x64x64x320,0,1310720,0,5242880
Constant_1501,Constant,,,1,0,1,0,8
/down_blocks.0/attentions.0/Unsqueeze,Unsqueeze,1,,1,0,1,0,8
Constant_1503,Constant,,,1,0,1,0,8
/down_blocks.0/attentions.0/Unsqueeze_1,Unsqueeze,1,,1,0,1,0,8
Constant_1505,Constant,,,1,0,1,0,8
/down_blocks.0/attentions.0/Unsqueeze_2,Unsqueeze,1,,1,0,1,0,8
/down_blocks.0/attentions.0/Concat,Concat,"1, 1, 1",,3,0,3,0,24
/down_blocks.0/attentions.0/Reshape,Reshape,"1x64x64x320, 3",,1x4096x320,0,1310720,0,5242880
/down_blocks.0/attentions.0/proj_in/MatMul,MatMul,1x4096x320,320x320,1x4096x320,102400,1310720,409600,5242880
